SEP=,
item.power.darkness_stone,Камень тьмы,Darkness Stone
item.power.destruction_stone,Камень разрушения,Destruction Stone
item.power.dark_sword,Меч Тьмы,Dark Sword
block.power.cursed_stone_bricks_wall,Ограда из проклятых каменных кирпичей,Cursed Stone Bricks Wall
item.power.lava_armor_helmet,Шлем мастера лавы,Lava Helmet
item.power.music_armor_boots,Ботинки мастера музыки,Music Boots
gui.power.keepers_box_gui_part_1.tooltip_explosion,Взрыв,Explosion
item.power.magnet_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.magnet_battery.description_1,§9Магнит,§9Magnet
item.power.left_metal_gauntlet,Левая металлическая перчатка,Left Metal Gauntlet
item.power.plants_armor_leggings,Поножи мастера зелени,Plants Leggings
gui.power.wheel_abilities_vacuum.tooltip_zeroing_out_uses_100,"Обнуление, расходует 75","Zeroing out, uses 75"
item.power.plague_battery,Батарея,Battery
item.power.magic_fireball,Волшебный файрбол,Magic Fireball
gui.power.wheel_abilities_blue_flame.tooltip_blue_flamethrower_uses_20,"Синий огнемёт, расходует 20","Blue flamethrower, uses 20"
item.power.technology_stone,Камень технологий,Technology Stone
item.power.misty_fan,Туманный веер,Misty Fan
gui.power.keepers_box_gui_part_2.tooltip_creation,Созидание,Creation
advancements.the_great_win.title,Великая победа!,Great victory!
item.power.plague_walking_stick,Чумная трость,Plague Walking Stick
effect.power.blue_flame_master,Мастер синего пламени,Master of the Blue Flame
key.power.detransformation_key,Клавиша детрансформации,Detransformation key
item.power.energium_core,Энергиумное ядро,Energium Core
item.power.golden_dust_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.speed_stone,Камень скорости,Speed Stone
item.power.golden_dust_battery.description_1,§9Золотая пыль,§9Golden Dust
item.power.crystal_battery.description_1,§9Кристалл,§9Crystal
gui.power.keepers_box_gui_part_2.tooltip_sound,Звук,Sound
item.power.solar_blade,Солнечное лезвие,Solar Blade
gui.power.wheel_abilities_lightning.tooltip_ball_lightning_uses_80,"Шаровая молния, расходует 80","Ball lightning, uses 80"
item.power.animals_halberd,Алебарда животных,Animals Halberd
subtitles.magnetic_waves,Использование силы магнита,Using magnetic powers
item.power.magnet_armor_leggings,Поножи мастера магнита,Magnet Leggings
gui.power.wheel_abilities_shadow.tooltip_shadow_ray_uses_10,"Теневой луч, расходует 10","Shadow ray, uses 10"
item.power.shadow_armor_leggings,Поножи мастера тени,Shadow Leggings
item.power.technology_armor_boots,Ботинки мастера технологий,Technology Boots
gui.power.wheel_abilities_ether.tooltip_ethereal_volley_uses_30_power_p,"Эфирный залп, расходует 30","Ethereal volley, uses 30"
item.power.mind_armor_boots,Ботинки мастера разума,Mind Boots
item.power.mind_battery,Батарея,Battery
item.power.blood_armor_helmet,Шлем мастера крови,Blood Helmet
gui.power.keepers_box_gui_part_1.tooltip_ice,Лёд,Ice
gui.power.keepers_box_gui_part_3.tooltip_spirit,Дух,Spirit
gui.power.wheel_abilities_fire.tooltip_jet_flight_uses_5_power_points,"Реактивный полет, расходует 5","Jet flight, uses 5"
gui.power.wheel_abilities_metal.tooltip_metal_attack_uses_15,"Металлическая атака, расходует 15","Metal attack, uses 15"
gui.power.debug_info.label_star_points_recovery_multiplier,star_points_recovery_multiplier: 0,star_points_recovery_multiplier: 0
item.power.rain_bow,Дождевой Лук,Rain Bow
item.power.form_armor_chestplate,Нагрудник мастера формы,Form Chestplate
death.attack.cursed_knight_ds.item,%1$s  был убит Проклятый рыцарь,%1$s was killed by an Cursed Knight
item.power.destruction_armor_helmet,Шлем мастера разрушение,Destruction Helmet
gui.power.wheel_abilities_magnet.tooltip_magnetic_field_wave_uses_10,"Волна магнитного поля, расходует 10","Magnetic field wave, uses 10"
gui.power.wheel_abilities_poison.tooltip_toxic_acid_flow_uses_15,"Поток токсичной кислоты, расходует 15","Toxic acid flow, uses 15"
gui.power.wheel_abilities_teleportation.tooltip_checkpoint_uses_20,"Чекпоинт, расходует 20","Checkpoint, uses 20"
item.power.water_armor_helmet,Шлем мастера воды,Water Helmet
item.power.ice_battery,Батарея,Battery
item.power.sand_stone,Камень песка,Sand Stone
item.power.lightning_armor_boots,Ботинки мастера молнии,Lightning Boots
gui.power.keepers_box_gui_part_2.tooltip_tornado,Торнадо,Tornado
advancements.unbreakable_diamond.descr,Достигните ранга S,Reach rank S
subtitles.cursed_squire.attack,,
gui.power.wheel_abilities_crystal.tooltip_crystal_volley_uses_65,"Кристальный залп, расходует 65","Crystal volley, uses 65"
gui.power.keepers_box_gui_part_1.tooltip_energy,Энергия,Energy
block.power.polished_cursed_stone_stairs,Ступеньки из полированного проклятого камня,Polished Cursed Stone Stairs
advancements.become_a_master.title,Становясь Мастером,Become a Master
item.power.thirst_armor_leggings,Поножи тёмного мастера жажды,Thirst Leggings
item.power.shadow_armor_boots,Ботинки мастера тени,Shadow Boots
item.power.light_armor_boots,Ботинки мастера света,Light Boots
gui.power.wheel_abilities_mist.tooltip_stream_of_mist_uses_10,"Поток тумана, расходует 10","Stream of mist, uses 10"
item.power.energy_armor_boots,Ботинки мастера энергии,Energy Boots
item.power.explosion_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.explosion_battery.description_1,§9Взрыв,§9Explosion
gui.power.keepers_box_gui_part_3.tooltip_light,Свет,Light
subtitles.electricity,Electricity discharge,Electricity discharge
item.power.metal_armor_chestplate,Нагрудник мастера металла,Metal Chestplate
gui.power.keepers_box_gui_part_2.tooltip_air,Воздух,Air
item.power.magnet_armor_helmet,Шлем мастера магнита,Magnet Helmet
item.power.ice_armor_leggings,Поножи мастера льда,Ice Leggings
gui.power.wheel_abilities_mercury.tooltip_liquid_mercury_uses_15,"Жидкая ртуть, расходует 15","Liquid mercury, uses 15"
item.power.light_armor_leggings,Поножи мастера света,Light Leggings
item.power.form_armor_boots,Ботинки мастера формы,Form Boots
subtitles.ambient.biome.cursed_forest,,
item.power.crystal_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.amplifier_drop,Капля амплифера,Amplifier Drop
item.power.sun_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.sun_battery.description_1,§9Солнце,§9Sun
item.power.energium_upgrade_smithing_template,Кузнечный шаблон,Smithing Template
item.power.golden_dust_battery,Батарея,Battery
gui.power.keepers_box_gui_part_3.tooltip_moon,Луна,Moon
item.power.chaos_armor_helmet,Шлем тёмного мастера хаоса,Chaos Helmet
gui.power.wheel_abilities_smoke.tooltip_smoke_intangibility_uses_80,"Неосязаемость дыма, расходует 80","Smoke intangibility, uses 80"
gui.power.wheel_abilities_tornado.tooltip_tornado_capture_attack_uses_30,"Захват торнадо, расходует 30","Tornado capture attack, uses 30"
advancements.what_is_this_metal.descr,Добудьте и переплавьте энергиумную руду,Obtain and smelt the energium ore
item.power.tornado_armor_helmet,Шлем мастера торнадо,Tornado Helmet
item.power.smoke_musket,Мушкет дыма,Smoke Musket
item.power.form_battery,Батарея,Battery
item.power.sun_battery,Батарея,Battery
item.minecraft.potion.effect.star_regeneration_potion,Зелье звёздной регенерации,Potion of Star Regeneration
item.power.ice_armor_chestplate,Нагрудник мастера льда,Ice Chestplate
item.power.mind_armor_leggings,Поножи мастера разума,Mind Leggings
gui.power.debug_info.label_max_star_points_0,max_star_points: 0,max_star_points: 0
item.power.highspeed_dagger,Высокоскоростной кинжал,High-speed Dagger
effect.power.plague,Чума,Plague
gui.power.wheel_abilities_earth.tooltip_earthquakeuses_70,"Землетрясение, расходует 70","Earthquake, uses 70"
item.power.lightning_battery,Батарея,Battery
entity.power.cursed_squire,Проклятый оруженосец,Cursed Squire
gui.power.wheel_abilities_moon.tooltip_moon_dripstone_uses_40,"Лунный сталагмит, расходует 40","Moon dripstone, uses 40"
item.power.blue_flame_battery,Батарея,Battery
subtitles.cursed_knight.walk,,
item.power.earth_battery,Батарея,Battery
block.power.polished_cursed_stone_slab,Плита из полированного проклятого камня,Polished Cursed Stone Slab
gui.power.wheel_abilities_lava.tooltip_melting_uses_50,"Плавление, расходует 50","Melting, uses 50"
enchantment.power.revenge,Возмездие,Revenge
item.power.amber_armor_helmet,Шлем мастера янтаря,Amber Helmet
item_group.power.items,KotS: Предметы,KotS: Items
gui.power.keepers_box_gui_part_4.tooltip_animals,Животные,Animals
block.power.cursed_stone_slab,Плита из проклятого камня,Cursed Stone Slab
gui.power.wheel_abilities_space.tooltip_star_flow_uses_10,"Звёздный поток, расходует 10","Star flow, uses 10"
item.power.poison_battery,Батарея,Battery
item.power.time_armor_helmet,Шлем мастера времени,Time Helmet
gui.power.wheel_abilities_sand.tooltip_sand_jet_uses_15,"Струя песка, расходует 15","Sand jet, uses 15"
gui.power.wheel_abilities_creation.tooltip_supertool_uses_50,"Супер-инструмент, расходует 50","Supertool, uses 50"
item.power.creation_axe,Топор созидания,Creation Axe
item.power.magnet_battery,Батарея,Battery
item.power.air_battery.description_1,§9Воздух,§9Air
item.power.creation_armor_helmet,Шлем мастера созидания,Creation Helmet
item.power.air_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
advancements.energized_gold.titleс,Золото с энергией,
effect.power.mushrooms_master,Мастер грибов,Master of Mushrooms
death.attack.cursed_squire_ds,%1$s  был убит Проклятый оруженосец,%1$s was killed by an Cursed Squire
block.power.cursed_lantern,Проклятый фонарь,Cursed Lantern
item.power.blood_armor_chestplate,Нагрудник мастера крови,Blood Chestplate
gui.power.wheel_abilities_smoke.tooltip_smoke_attack_uses_10,"Дымовая атака, расходует 15","Smoke attack, uses 15"
gui.power.wheel_abilities_mist.tooltip_mist_lifting_uses_50,"Подъём тумана, расходует 50","Mist lifting, uses 50"
item.power.ocean_armor_chestplate,Нагрудник мастера океана,Ocean Chestplate
item.power.extra_star_points_rune_2.description_1,,
item.power.extra_star_points_rune_3.description_3,§c§oНесовместимы с аналог. рунами,§c§oIncompatible with similar runes
item.power.extra_star_points_rune_2.description_0,§9Доп. звёздные очки II,§9Extra Star Points II
item.power.mercury_battle_axe,Ртутный боевой топор,Mercury Battle Axe
item.power.extra_star_points_rune_3.description_2,§1§o+20 к макс. кол-ву звёзд. очков,§1§o+20 to the max. number of star points
item.power.extra_star_points_rune_3.description_1,,
item.power.extra_star_points_rune_3.description_0,§9Доп. звёздные очки III,§9Extra Star Points III
item.minecraft.lingering_potion.effect.star_regeneration_potion,Туманное зелье звёздной регенерации,Lingering Potion of Star Regeneration
item.power.extra_star_points_rune_2.description_3,§c§oНесовместимы с аналог. рунами,§c§oIncompatible with similar runes
item.power.extra_star_points_rune_2.description_2,§1§o+15 к макс. кол-ву звёзд. очков,§1§o+15 to the max. number of star points
effect.power.ice_master,Мастер льда,Master of the Ice
item.power.ether_armor_leggings,Поножи мастера эфира,Ether Leggings
gui.power.debug_info.label_fake_elements_timer_000,fake_elements_timer: 0/0/0,fake_elements_timer: 0/0/0
subtitles.power.level_up,Уровень повышен!,Level up!
effect.power.time_stopped,Остановка времени,Time Stopped
item.power.spirit_armor_boots,Ботинки мастера духа,Spirit Boots
gui.power.wheel_abilities_water.tooltip_water_shock_uses_20_power_point,"Водный удар, расходует 20","Water shock, uses 20"
item.power.golden_dust_armor_chestplate,Нагрудник мастера золотой пыли,Golden Dust Chestplate
subtitles.cursed_squire.walk,,
subtitles.cursed_knight.death,,
gui.power.keepers_box_gui_part_4.tooltip_poison,Яд,Poison
item.power.rain_armor_leggings,Поножи мастера дождя,Rain Leggings
item.power.ocean_armor_boots,Ботинки мастера океана,Ocean Boots
gui.power.keepers_box_gui_part_4.tooltip_crystal,Кристалл,Crystal
item.power.depleted_energium_ingot,Слиток обеднённого энергиума,Depleted Energium Ingot
item.power.water_armor_boots,Ботинки мастера воды,Water Boots
entity.power.black_hole,Чёрная дыра,Black Hole
item.keeper_book.desc,Книга для овладения силой стихий,A book for mastering the power of the elements
gui.power.wheel_abilties_golden_dust.tooltip_golden_dust_attack_uses_15,"Атака золотой пыли, расходует 15","Golden dust attack, uses 15"
item.power.teleportation_armor_leggings,Поножи мастера телепортации,Teleportation Leggings
item.power.energium_dust,Энергиумная пыль,Energium Dust
item.power.moon_armor_boots,Ботинки мастера луны,Moon Boots
block.power.polished_cursed_stone,Полированный проклятый камень,Polished Cursed Stone
item.power.destruction_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.destruction_battery.description_1,§9Разрушение,§9Destruction
item.power.rain_armor_chestplate,Нагрудник мастера дождя,Rain Chestplate
item.power.energy_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.mercury_stone,Камень ртути,Mercury Stone
item.power.energy_battery.description_1,§9Энергия,§9Energy
gui.power.wheel_abilities_amber.tooltip_liquid_amber_flow_uses_15,"Поток жидкого янтаря, расходует 15","Liquid amber flow, uses 15"
gui.power.keepers_box_gui_part_2.tooltip_creation1,Разрушение,Destruction
item.power.blue_flame_armor_helmet,Шлем мастера синего пламени,Blue Flame Helmet
item.power.energy_staff,Посох энергии,Energy Staff
item.power.mist_armor_leggings,Поножи мастера тумана,Mist Leggings
block.power.cursed_stone_bricks_stairs,Ступеньки из проклятых каменных кирпичей,Cursed Stone Bricks Stairs
item.power.technology_battery.description_1,§9Технологии,§9Technology
block.power.cursed_lamp,Проклятая лампа,Cursed Lamp
block.power.cursed_ladder,Проклятая лестница,Cursed Ladder
item.power.technology_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.thirst_armor_boots,Ботинки тёмного мастера жажды,Thirst Boots
gui.power.wheel_abilities_vacuum.tooltip_sphere_of_nothing_uses_20,"Сфера небытия, сфера 20","Sphere of nothing, uses 20"
gui.power.wheel_abilities_blood.tooltip_bleeding_uses_15,"Кровотечение, расходует 15","Bleeding, uses 15"
effect.power.poison_master,Мастер яда,Master of Poison
item.power.fire_armor_boots,Ботинки мастера огня,Fire Boots
death.attack.cursed_squire_ds.player,%1$s  был убит Проклятый оруженосец,%1$s was killed by an Cursed Squire
item.power.copyrium_ingot,Копириумный слиток,Copyrium Ingot
item.power.horror_armor_chestplate,Нагрудник тёмного мастера хоррора,Horror Chestplate
subtitles.record.hope,,
item.power.chaos_armor_boots,Ботинки тёмного мастера хаоса,Chaos Boots
item.power.tornado_armor_boots,Ботинки мастера торнадо,Tornado Boots
gui.power.wheel_abilities_destruction.tooltip_lethal_result_uses_80,"Летальный исход, расходует 80","Lethal result, uses 80"
item.power.gravity_battery,Батарея,Battery
item.power.fire_stone,Камень огня,Fire Stone
item.power.blood_stone,Камень крови,Blood Stone
gui.power.wheel_abilities_plants.tooltip_natural_healing_uses_65,"Природное исцеление, расходует 65","Natural healing, uses 65"
item.power.ice_spear,Копьё льда,Ice Spear
gui.power.wheel_abilities_form.tooltip_gigantization_uses_50,"Гигантизация, расходует 50","Gigantization, uses 50"
item.power.earth_armor_leggings,Поножи мастера земли,Earth Leggings
item.power.cursed_key,Проклятый ключ,Cursed Key
gui.power.wheel_abilities_spirit.tooltip_spiritual_flight_uses_5,"Спиритический полёт, расходует 5","Spiritual flight, uses 5"
block.power.moon_block,Лунный блок,Moon Block
power.modinfo.recharge_stone,Перезарядка:,Recharge:
block.power.freaking_parsnip_block,Блок дикого пастернака,Freaking Parsnip Block
item.keepers_book.desc,Книга знаний о силах стихий,The Book of Knowledge about the powers of the elements
gui.power.keepers_box_gui_part_4.tooltip_sand,Песок,Sand
item.power.poison_armor_chestplate,Нагрудник мастера яда,Poison Chestplate
item.power.mercury_ball,Mercury Ball,Mercury Ball
item.power.mind_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
gui.power.wheel_abilities_energy.tooltip_energy_charge_uses_80,"Заряд энергии, расходует 80","Energy charge, uses 80"
gui.power.keepers_box_gui_part_4.tooltip_mercury,Ртуть,Mercury
item.power.creation_armor_boots,Ботинки мастера созидания,Creation Boots
item.power.form_armor_helmet,Шлем мастера формы,Form Helmet
block.power.rune_cutter,Резчик рун,Rune Cutter
item.power.mushrooms_armor_chestplate,Нагрудник мастера грибов,Mushrooms Chestplate
item.power.mind_battery.description_1,§9Разум,§9Mind
item.power.tornado_battery,Батарея,Battery
gui.power.wheel_abilities_gravity.tooltip_gravity_wave_uses_15,"Гравитационная волна, расходует 15","Gravity wave, uses 15"
block.power.energium_controller,Энергиумный контроллер,Energium Controller
item.power.fire_battery,Батарея,Battery
item.power.music_disc_ancient_mood,Пластинка,Music Disc
item.power.shadow_scythe,Теневая коса,Shadow Scythe
item.power.rain_battery.description_1,§9Дождь,§9Rain
item.power.rain_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.metal_stone,Камень металла,Metal Stone
item.power.sun_armor_chestplate,Нагрудник мастера солнца,Sun Chestplate
item_group.power.stones,KotS: Камни,KotS: Stones
gui.power.wheel_abilities_technology.tooltip_red_plasma_ball_uses_15,"Красный плазменный шар, расходует 15","Red plasma ball, uses 15"
item.power.animals_armor_chestplate,Нагрудник маастера животных,Animals Chestplate
effect.power.red_magnet_power,Сила красного магнита,Red Magnet Power
advancements.lets_bail_this_place_isdead.title,Погибель близко...,"Let's bail, this place is dead"
item.power.sun_stone,Камень солнца,Sun Stone
item.power.lava_armor_chestplate,Нагрудник мастера лавы,Lava Chestplate
item.power.poison_armor_helmet,Шлем мастера яда,Poison Helmet
gui.power.wheel_abilities_plague.tooltip_plague_healing_uses_75,"Чумное исцеление, расходует 75","Plague healing, uses 75"
effect.power.creation_master,Мастер творения,Master of Creation
gui.power.wheel_abilities_mushrooms.tooltip_flying_spores_uses_15,"Летающие споры, расходует 15","Flying spores, uses 15"
gui.power.wheel_abilities_metal.tooltip_iron_skin_uses_80,"Железная кожа, расходует 80","Iron skin, uses 80"
item.power.empty_characteristics_card,Карточка характеристик,Characteristics Card
item.power.earth_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
block.power.cursed_vault,Проклятое хранилище,Cursed Vault
gui.power.keepers_box_gui_part_1.tooltip_magnet,Магнит,Magnet
block.power.deepslate_amplifier_ore,Амплифероносный глубинный сланец,Deepslate Amplifier Ore
item.power.earth_battery.description_1,§9Земля,§9Earth
entity.power.energium_golem,Энергиумный голем,Energium Golem
item.power.space_battery.description_1,§9Космос,§9Space
gui.power.wheel_abilities_air.tooltip_air_flight_uses_5_power_points,"Воздушный полет, расходует 5","Air flight, uses 5"
item.power.plague_armor_boots,Ботинки мастра чумы,Plague Boots
gui.power.keepers_box_gui_part_3.tooltip_darkness,Тьма,Darkness
item.power.empty_battery,Батарея,Battery
item.power.technology_armor_leggings,Поножи мастера технологий,Technology Leggings
subtitles.record.call_of_the_past,A record is playing,A record is playing
item.minecraft.tipped_arrow.effect.power_lock_potion,Стрела блокировки силы,Arrow of Power Lock
advancements.super_charge.title,Супер Заряд!,Super Charge!
item.power.mushrooms_hammer,Грибной молот,Mushrooms Hammer
item.power.space_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
effect.power.mind_master,Мастер разума,Master of the Mind
item.power.vacuum_armor_helmet,Шлем мастера пустоты,Vacuum Helmet
item.power.blue_magic_fireball,Волшебный синий файрбол,Blue Magic Fireball
trim_material.power.energium_material,Энергиум,Energium
item.power.light_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.light_battery.description_1,§9Свет,§9Light
item.power.smoke_armor_leggings,Поножи мастера дыма,Smoke Leggings
item.power.extra_star_points_rune_1.description_0,§9Доп. звёздные очки I,§9Extra Star Points I
item.power.creation_hoe,Мотыга созидания,Creation Hoe
item.power.extra_star_points_rune_1.description_1,,
item.power.extra_star_points_rune_1.description_2,§1§o+10 к макс. кол-ву звёзд. очков,§1§o+10 to the max. number of star points
effect.power.water_master,Мастер воды,Master of Water
advancements.become_like_an_adventurer.descr,Заполните карточку с характеристиками,Fill out the characteristics card
item_group.power.mobs,KotS: Мобы,KotS: Mobs
item.power.fire_armor_helmet,Шлем мастера огня,Fire Helmet
item.power.earth_stone,Камень земли,Earth Stone
item.power.luck_coin,Счастливая монета,Luck Coin
item.power.rain_battery,Батарея,Battery
item.power.creation_sword,Меч созидания,Creation Sword
item.power.extra_star_points_rune_1.description_3,§c§oНесовместимы с аналог. рунами,§c§oIncompatible with similar runes
gui.power.wheel_abilities_ice.tooltip_ice_attack_uses_30,"Ледяная атака, расходует 30","Ice attack, uses 30"
item.power.speed_battery.description_1,§9Скорость,§9Speed
item.power.crystal_battery,Батарея,Battery
item.power.speed_armor_leggings,Поножи мастера скорости,Speed Leggings
item.power.speed_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
entity.power.blue_magnet,Red Magnet,Red Magnet
item.power.destruction_battery,Батарея,Battery
gui.power.wheel_abilities_water.tooltip_water_stream_uses_10_power_poin,"Струя воды, расходует 10","Water stream, uses 10"
item.power.ether_glaive,Эфирная глефа,Ether Glaive
gui.power.wheel_abilities_ice.tooltip_ice_trap_uses_60,"Ледяная ловушка, расходует 80","Ice trap, uses 80"
item.power.explosion_mace,Взрывная булава,Explosion Mace
entity.power.poison_pit,Ядовитая яма,Poison Pit
item.power.mind_epee,Шпага разума,Mind Epee
item.power.magnet_armor_chestplate,Нагрудник мастера магнита,Magnet Chestplate
gui.power.wheel_abilities_lava.tooltip_surface_melting_uses_75,"Расплавление поверхности, uses 75","Surface melting, uses 75"
item.minecraft.tipped_arrow.effect.star_regeneration_potion,Стрела звёздной регенерации,Arrow of Star Regeneration
item.power.crystal_knife,Кристальный нож,Crystal Knife
gui.power.wheel_abilities_tornado.tooltip_tornado_flight_uses_5,"Полёт торнадо, расходует 5","Tornado flight, uses 5"
item.power.light_sword,Световой меч,Light Sword
advancements.the_end_of_tyranny.title,Конец Тирании,The end of tyranny
death.attack.cursed_knight_ds,%1$s  был убит Проклятый рыцарь,%1$s was killed by an Cursed Knight
item.power.darkness_armor_chestplate,Нагрудник мастера тьмы,Darkness Chestplate
gui.power.wheel_abilities_air.tooltip_air_flow_uses_10_power_points,"Поток воздуха, расходует 25","Air flow, uses 10"
item.power.mushrooms_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.mushrooms_battery.description_1,§9Грибы,§9Mushrooms
item.power.ice_stone,Камень льда,Ice Stone
item.power.energy_armor_chestplate,Нагрудник мастера энергии,Energy Chestplate
item.power.mind_stone,Камень разума,Mind Stone
effect.power.thirst_dark_master,Т. Мастер Жажды,Dark Master of Thirst
item.power.gravity_armor_helmet,Шлем мастера гравитации,Gravity Helmet
item.power.vacuum_dagger,Пустотный кинжал,Vacuum Dagger
item.power.air_battery,Батарея,Battery
gui.power.wheel_abilities_sun.tooltip_sun_ray_uses_15,"Солнечный луч, расходует 15","Sun ray, uses 15"
item.power.energy_armor_helmet,Шлем мастера энергии,Energy Helmet
item.power.sun_armor_boots,Ботинки мастера солнца,Sun Boots
subtitles.stone_deactivation,Камень был деактивирован,The stone has been deactivated
subtitles.bass_boom,Бас,Bass
block.power.elemental_power_generator,Генератор силы стихии,Elemental Power Generator
item.power.sun_armor_leggings,Поножи мастера солнца,Sun Leggings
item.power.mercury_armor_helmet,Шлем мастера ртути,Mercury Helmet
effect.power.plants_master,Мастер зелени,Master of Plants
item.power.plants_armor_helmet,Шлем мастера зелени,Plants Helmet
subtitles.record.ancient_mood,A record is playing,
item.power.sound_armor_helmet,Шлем мастера звука,Sound Helmet
item.power.fire_battery.description_1,§9Огонь,§9Fire
item.power.right_metal_gauntlet,Правая металлическая перчатка,Right Metal Gauntlet
power.modinfo.unofficial_version,§9[Keepers of the Stones II]§r Вы используете неофициальную версию мода!,§9[Keepers of the Stones II]§r You are using an unofficial version of the mod!
item.power.filth_armor_boots,Ботинки тёмного мастера скверны,Filth Boots
item.power.golden_dust_armor_leggings,Поножи мастера золотой пыли,Golden Dust Leggings
entity.power.turret,Турель,Turret
effect.power.fire_master,Мастер огня,Master of Fire
effect.power.technobarrier,Технобарьер,Technobarrier
item.power.sand_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.fire_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.sand_battery.description_1,§9Песок,§9Sand
item.power.ocean_stone,Камень океана,Ocean Stone
effect.power.animals_master,Мастер животных,Master of Animals
gui.power.wheel_abilities_vacuum.tooltip_rifts_uses_45,"Разломы, расходует 45","Rifts, uses 45"
item_group.power.batteries,KotS: Батареи,KotS: Batteries
gui.power.keepers_box_gui_part_4.tooltip_metal,Металл,Metal
item.power.spirit_battery.description_1,§9Дух,§9Spirit
item.power.spirit_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.amber_battery.description_1,§9Янтарь,§9Amber
gui.power.wheel_abilities_rain.tooltip_rain_splash_uses_10,"Дождевой всплеск, расходует 10","Rain splash, uses 10"
item.power.amber_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.earth_hammer,Земляной молот,Earth Hammer
item.power.golden_dust_staff,Посох золотой пыли,Golden Dust Staff
gui.power.wheel_abilities_poison.tooltip_poison_bomb_uses_40,"Ядовитая бомба, расходует 40","Poison bomb, uses 40"
effect.power.smoke_master,Мастер дыма,Master of Smoke
subtitles.ear_ringing,Звон в ушах,Ear ringing
gui.power.keepers_box_gui_part_4.tooltip_ether,Эфир,Ether
trim_material.power.amplifier_material,Амплифер,Amplifier
item.power.sound_armor_leggings,Поножи мастера звука,Sound Leggings
gui.power.wheel_abilities_air.tooltip_wind_gust_uses_25_power_points,"Порыв ветра, расходует 35","Wind gust, uses 35"
item.minecraft.splash_potion.effect.power_lock_potion,Взрывное зелье блокировки силы,Splash Potion of Power Lock
effect.power.speed_master,Мастер скорости,Master of Speed
item.power.poison_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.poison_battery.description_1,§9Яд,§9Poison
key.power.ability_using_key,Клавиша использования способности,Ability using key
death.attack.energium_golem_ds,%1$s был убит Энергиумный голем,%1$s was killed by an Energium Golem
power.modinfo.recharge_stone.seconds,секунд,seconds
gui.power.keepers_box_gui_part_1.tooltip_fire,Огонь,Fire
effect.power.mist,Туман,Mist
item.power.lightning_armor_chestplate,Нагрудник мастера молнии,Lightning Chestplate
item.power.lightning_armor_helmet,Шлем мастера молнии,Lightning Helmet
gui.power.keepers_box_gui_part_2.tooltip_time,Время,Time
gui.power.wheel_abilities_mercury.tooltip_mercury_ball_uses_35,"Ртутный шарик, расходует 35","Mercury ball, uses 35"
item.power.water_katana,Водная катана,Water Katana
advancements.energized_gold.title,Energized gold,Energized gold
item.power.darkness_armor_helmet,Шлем мастера тьмы,Darkness Helmet
effect.power.time_slowing,Замедление времени,Time Slowing
gui.power.wheel_abilities_water.tooltip_healing_water_uses_30_power_poi,"Целебная вода, расходует 70","Healing water, uses 70"
item.power.animals_armor_boots,Ботинки мастера животных,Animals Boots
effect.power.rain_master,Мастер дождя,Master of the Rain
subtitles.cursed_squire.hurt,,
effect.power.spirit_master,Мастер духа,Master of the Spirit
gui.power.keepers_box_gui_part_3.tooltip_space,Космос,Space
effect.power.crystal_master,Мастер кристалла,Master of the Crystal
advancements.grant_your_power.descr,Зарядите генератор силы стихий силой камня,Charge the elemental power generator with the power of the stone
gui.power.wheel_abilities_creation.tooltip_four_elements_attack_uses_10,"Атака четырёх стихий, расходует 10","Four elements attack, uses 10"
item.power.shadow_armor_chestplate,Нагрудник мастера тени,Shadow Chestplate
effect.power.golden_dust_master,Мастер золотой пыли,Master of the Golden Dust
item.power.music_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.music_battery.description_1,§9Музыка,§9Music
item.power.tornado_axe,Топор торнадо,Tornado Axe
death.attack.cursed_knight_ds.player,%1$s  был убит Проклятый рыцарь,%1$s was killed by an Cursed Knight
block.power.depleted_energium_ore,Руда обеднённого энергиума,Depleted Energium Ore
gui.power.wheel_abilities_sun.tooltip_sun_healing_uses_80,"Солнечное исцеление, расходует 80","Sun healing, uses 80"
block.power.raw_copyrium_block,Сырой копириумный блок,Block of Raw Copyrium
